episode,step,env_id,agent_id,reward_env,info_type,reward_mode,r_avoid_raw,r_formation_raw,r_nav_raw,r_goal_raw,r_bonus_raw,c_formation,c_avoid,c_nav,c_goal,reward_shaped,nd_terminal_tr,nd_tr_applied,goal_entered_from_outside,goal_flag,shared_team,reward_final
0,0,0,0,-139.67798694321272,Nothing,static_nd,0.0,-0.9394354899734664,-6.983899347160635,0.0,-1.0,-0.0,0.0,-139.67798694321272,0.0,-139.67798694321272,8.0,0.0,0.0,0.0,,-139.67798694321272
0,0,0,1,-953.1121318441466,Nothing,static_nd,0.0,-0.9394354899734664,-47.65560659220733,0.0,-1.0,-0.0,0.0,-953.1121318441466,0.0,-953.1121318441466,8.0,0.0,0.0,0.0,,-953.1121318441466
0,0,0,2,-1729.04209586956,Nothing,static_nd,0.0,-0.9394354899734664,-86.452104793478,0.0,-1.0,-0.0,0.0,-1729.04209586956,0.0,-1729.04209586956,8.0,0.0,0.0,0.0,,-1729.04209586956
0,0,0,3,-794.1629397683853,Nothing,static_nd,0.0,-0.9394354899734664,-39.708146988419266,0.0,-1.0,-0.0,0.0,-794.1629397683853,0.0,-794.1629397683853,8.0,0.0,0.0,0.0,,-794.1629397683853
0,0,0,4,-518.8182610743669,Nothing,static_nd,0.0,-0.9394354899734664,-25.940913053718344,0.0,-1.0,-0.0,0.0,-518.8182610743669,0.0,-518.8182610743669,8.0,0.0,0.0,0.0,,-518.8182610743669
0,0,0,5,-285.9908429270147,Nothing,static_nd,0.0,-0.9394354899734664,-14.299542146350733,0.0,-1.0,-0.0,0.0,-285.9908429270147,0.0,-285.9908429270147,8.0,0.0,0.0,0.0,,-285.9908429270147
0,0,0,6,70.08557026741951,Nothing,static_nd,0.0,-0.9394354899734664,3.5042785133709757,0.0,-1.0,-0.0,0.0,70.08557026741951,0.0,70.08557026741951,8.0,0.0,0.0,0.0,,70.08557026741951
0,0,0,7,415.4820451691878,Nothing,static_nd,0.0,-0.9394354899734664,20.77410225845939,0.0,-1.0,-0.0,0.0,415.4820451691878,0.0,415.4820451691878,8.0,0.0,0.0,0.0,,415.4820451691878
0,0,0,8,-510.2364489291673,Nothing,static_nd,0.0,-0.9394354899734664,-25.511822446458364,0.0,-1.0,-0.0,0.0,-510.2364489291673,0.0,-510.2364489291673,8.0,0.0,0.0,0.0,,-510.2364489291673
0,0,0,9,713.8453076164733,Nothing,static_nd,0.0,-0.9394354899734664,35.69226538082366,0.0,0.0,-0.0,0.0,713.8453076164733,0.0,713.8453076164733,8.0,0.0,0.0,0.0,,713.8453076164733
0,1,0,0,4.348131243622079,Nothing,static_nd,0.0,-0.9394398079339829,0.217406562181104,0.0,-1.0,-0.0,0.0,4.348131243622079,0.0,4.348131243622079,8.0,0.0,0.0,0.0,,4.348131243622079
0,1,0,1,-7.8937760945631785,Nothing,static_nd,0.0,-0.9394398079339829,-0.3946888047281589,0.0,-1.0,-0.0,0.0,-7.8937760945631785,0.0,-7.8937760945631785,8.0,0.0,0.0,0.0,,-7.8937760945631785
0,1,0,2,-2.0939482008662322,Nothing,static_nd,0.0,-0.9394398079339829,-0.10469741004331162,0.0,0.0,-0.0,0.0,-2.0939482008662322,0.0,-2.0939482008662322,8.0,0.0,0.0,0.0,,-2.0939482008662322
0,1,0,3,-3.2513118110846495,Nothing,static_nd,0.0,-0.9394398079339829,-0.16256559055423248,0.0,0.0,-0.0,0.0,-3.2513118110846495,0.0,-3.2513118110846495,8.0,0.0,0.0,0.0,,-3.2513118110846495
0,1,0,4,0.6243307636814283,Nothing,static_nd,0.0,-0.9394398079339829,0.031216538184071413,0.0,-1.0,-0.0,0.0,0.6243307636814283,0.0,0.6243307636814283,8.0,0.0,0.0,0.0,,0.6243307636814283
0,1,0,5,-13.386606932330123,Nothing,static_nd,0.0,-0.9394398079339829,-0.6693303466165061,0.0,-1.0,-0.0,0.0,-13.386606932330123,0.0,-13.386606932330123,8.0,0.0,0.0,0.0,,-13.386606932330123
